2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
181.985,190.138,199.87,204.015,213.726,217.338,210.459,187.533,201.076,204.296
54.174,60.74,62.809,65.682,70.086,71.46,71.244,76.031,76.226,72.019
28.601,31.432,32.354,34.002,33.685,34.166,34.03,34.88,37.903,36.605
140.623,144.13,145.246,155.383,166.759,185.43,206.286,194.759,194.758,192.127
28.057,29.273,30.962,32.584,32.757,32.435,32.629,33.084,35.843,35.309
82.605,86.516,95.375,101.294,110.148,121.013,132.926,140.274,149.159,134.906
6.836,7.458,7.486,7.983,8.809,9.312,9.423,9.171,10.508,10.247
248.006,235.531,250.847,194.537,185.172,196.622,213.29,212.805,201.519,206.959
591.393,591.61,595.488,582.275,602.884,614.101,618.506,625.037,598.492,560.62
5.563,5.858,5.654,6.782,8.143,10.644,11.926,13.961,17.282,17.347
69.636,77.365,78.396,84.923,88.811,90.786,91.393,90.673,91.684,90.644
83.519,86.117,88.007,85.899,90.844,92.726,92.726,95.087,96.528,94.92
22.045,24.17,24.382,26.231,27.887,28.591,30.012,28.222,28.453,22.531
207.851,209.21,226.082,238.78,240.434,233.81,225.534,245.114,251.9,248.898
11.172,12.18,13.144,12.986,12.578,13.031,14.258,16.157,16.8,16.677
55.502,59.307,62.337,65.901,74.209,76.624,81.648,85.665,93.596,89.782
5.197,6.014,6.095,7.117,6.844,10.423,12.491,15.364,14.212,15.082
467.085,499.091,508.499,545.05,571.658,566.273,556.417,532.669,533.277,522.903
2.506,2.948,3.051,4.399,4.675,5.986,7.192,8.505,9.394,9.502
237.697,242.833,249.211,238.035,254.573,268.41,269.591,272.988,283.338,277.942
7.58,7.538,7.425,7.211,6.421,6.903,7.235,7.724,7.309,7.824
135.833,118.724,117.043,109.806,104.388,110.849,116.029,111.146,115.104,114.201
46.926,45.979,46.255,46.985,47.956,47.465,50.479,48.443,48.48,47.055
4.346,5.083,4.882,4.791,4.622,4.389,4.677,4.862,5.292,6.063
97.044,107.004,116.056,109.309,104.576,111.798,125.402,134.534,147.385,131.397
558.091,564.939,593.116,617.773,614.254,613.811,632.113,644.972,638.86,632.032
517.621,597.095,563.771,541.069,535.032,545.103,566.012,663.621,685.838,663.819
21.268,23.898,24.539,26.18,26.566,26.447,27.974,25.801,26.324,23.352
114.187,124.226,127.529,136.063,143.885,142.94,148.266,156.379,160.057,151.202
219.607,234.38,230.032,239.56,246.897,252.026,267.313,277.814,252.634,243.536
7.682,9.261,10.405,11.844,13.922,14.61,15.273,15.763,17.047,17.435
16.064,17.79,20.999,23.081,23.984,20.66,17.869,18.47,20.294,16.685
5.226,4.979,5.209,5.451,5.776,6.862,7.02,8.436,7.926,8.357
3.834,3.374,5.347,6.887,6.848,6.532,7.228,7.214,7.094,5.627
3.176,3.602,3.613,3.842,4.902,5.133,5.999,6.438,7,6.86
0.368,0.388,0.408,0.417,0.436,0.418,0.462,0.48,0.487,0.551
2.494,2.564,2.252,2.207,1.994,2.409,2.083,2.228,2.256,2.247
0.438,0.408,0.361,0.344,0.353,0.402,0.392,0.418,0.422,0.388
0.276,0.266,0.257,0.241,0.269,0.303,0.337,0.337,0.363,0.363
1.836,1.798,1.67,1.73,2.135,2.456,2.983,3.147,3.428,3.743
0.159,0.151,0.148,0.158,0.171,0.187,0.216,0.208,0.217,0.214
12.183,13.617,14.07,14.593,14.835,15.625,16.67,18.634,18.996,21.059
335.035,338.708,339.455,307.481,312.403,315.817,319.766,309.231,302.925,269.623
10.808,11.902,12.028,11.837,12.247,10.58,9.882,12.025,11.534,9.381
5.487,5.684,6.491,7.07,7.125,7.734,8.043,8.568,8.558,9.07
0.129,0.124,0.127,0.127,0.145,0.137,0.177,0.173,0.181,0.186
7.007,8.97,9.881,10.557,11.364,11.63,12.34,12.179,13.013,13.278
12.717,13.249,14.25,16.234,18.863,19.671,20.135,20.768,26.116,28.346
0.425,0.43,0.379,0.385,0.44,0.399,0.433,0.425,0.443,0.392
38.58,49.683,54.506,55.99,48.468,46.493,47.258,47.968,47.488,41.585
0.775,0.864,0.963,0.985,1.11,1.281,1.387,1.644,1.729,1.327
2.233,2.887,3.103,3.195,3.476,3.366,3.663,3.519,3.608,2.733
3.897,3.884,3.407,3.854,4.112,4.502,5.292,5.563,6.144,6.324
55.328,57.631,57.22,58.556,60.025,60.006,63.393,65.002,70.712,66.422
3.216,3.395,3.667,3.858,4.031,4.098,4.045,4.08,4.109,3.768
371.652,378.452,424.308,403.27,369.5,393.345,372.675,368.991,369.689,324.711
1.679,2.156,2.034,2.266,2.252,2.265,2.077,2.129,2.304,2.316
0.655,0.759,0.888,0.97,0.702,0.692,0.695,0.747,0.749,0.715
8.171,8.164,8.778,8.948,9.58,10.589,10.578,10.929,12.433,10.635
14.722,16.17,16.132,16.817,19.36,21.942,22.095,21.744,21.535,20.193
8.866,11.031,11.263,11.492,12.797,12.237,11.956,11.767,12.971,12.709
25.727,27.081,30.038,32.957,30.114,29.613,30.397,30.402,30.595,29.058
4.035,3.61,11.354,11.388,11.595,5.87,5.979,6.819,7.655,7.422
3.134,4.141,4.351,4.806,5.077,5.438,6.916,7.916,7.148,7.169
1.114,1.78,1.827,1.907,1.945,1.776,1.938,1.97,2.08,2.041
0.426,0.434,0.262,0.25,0.284,0.278,0.313,0.309,0.328,0.326
4.959,4.721,4.784,4.913,4.773,4.48,5.201,5.201,4.921,4.254
14.824,13.392,15.712,14.874,11.828,13.347,14.455,17.326,10.59,8.019
70.923,67.804,68.327,64.551,66.071,66.307,68.513,65.524,67.451,61.826
61.278,62.848,63.048,62.372,57.517,57.893,59.12,62.267,60.525,56.006
50.563,46.194,41.902,44.132,45.577,43.071,45.179,41.962,40.093,34.943
9.454,8.982,7.728,7.67,7.311,7.303,7.813,7.32,8.315,7.554
23.596,21.827,21.698,19.378,19.497,22.057,22.527,22.456,20.918,20.126
313.688,304.224,302.243,287.575,290.249,301.598,315.306,315.167,297.098,280.357
1593.462,1608.566,1549.609,1557.007,1548.147,1539.686,1570.126,1572.408,1619.379,1530.188
2.524,2.306,2.191,2.199,2.331,2.131,2.245,2.469,2.574,2.543
112.515,108.083,105.068,101.391,103.893,105.398,105.903,104.267,98.827,90.205
19.313,17.621,17.145,16.294,16.678,17.125,17.555,16.57,16.731,15.456
7.87,7.579,7.538,7.421,7.519,7.445,7.306,7.876,7.621,6.941
12.226,12.239,11.549,11.024,11.144,11.31,11.375,11.714,11.737,11.75
11.24,10.99,10.446,9.936,9.441,9.139,9.25,9.565,9.344,8.049
85.39,83.486,73.793,73.019,74.323,72.487,75.597,76.697,75.236,70.944
2.572,2.714,2.37,2.358,1.661,1.354,1.571,1.616,1.763,1.707
