2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
350666.06,374590.66,400218.53,414105.37,370275.47,369255.33,390516.8,427049.43,417989.72,349473.02
77497.53,87408.84,89936.02,92699.09,78710.79,75128.74,80856.7,91505.85,88060.86,75909.4
65951.63,69683.94,74164.44,75244.29,53074.37,37867.52,40865.56,47112.48,48174.24,42693
213587.41,224383.62,231218.57,244360.89,270556.13,313629.86,339205.62,356128.17,320909.47,300425.61
28776.6,30749.31,32539.47,33387.71,31050.64,32234.97,35473.78,37802.01,38653.32,34621.81
234216.93,261920.51,283902.73,297483.25,306446.14,318626.76,328480.87,346841.9,376823.4,361751.15
15107.44,16488.4,17189.55,17627,14953.95,15141.76,16242.92,17596.92,17470.44,15842.92
192626.51,207998.57,236634.55,221415.57,184388.43,137278.32,166805.8,179339.98,181667.19,171082.37
1253223.04,1278427.63,1370795.2,1484318.22,1465773.25,1500111.6,1623901.5,1724845.62,1651422.93,1644312.79
12829.54,14054.44,15227.99,16702.61,18049.95,20016.75,22177.2,24571.75,27089.39,25872.8
167775.27,186833.5,198727.64,206224.6,161739.96,151732.18,161099.12,183334.95,176371.27,144411.36
154068.12,174070.38,174161.14,162631.41,114567.3,109419.73,120707.44,138202.31,136191.75,105948.77
39927.13,44016.8,46880.1,48095.21,49929.34,51147.31,53027.68,54901.52,51605.96,31712.13
297951.96,314443.15,323277.16,338061.96,301354.76,301255.45,319112.18,358788.83,365177.74,337339.46
10409.8,12292.77,12582.12,12226.51,11619.89,11181.35,11480.85,13178.09,14206.36,13312.98
128637.94,133355.75,149990.45,172885.45,195078.68,265236.25,293754.65,321379.16,351238.4,373902.2
21573.86,21703.11,22162.21,22731.6,24360.8,24524.1,28971.59,33111.53,34186.18,33433.66
671238.84,735974.84,746647.13,756350.35,654269.74,644935.68,688586.09,846583.79,838564.71,734271.18
6522.73,7633.05,8448.47,9112.54,8271.45,6992.39,7536.44,7765,8300.81,8133.96
370819.14,397558.22,420333.2,407339.45,401296.44,413366.15,456356.96,506754.21,543976.7,500457.26
18525.32,19047.94,18093.83,17098.34,12930.39,11400.85,12128.1,13567.16,13469.24,12005.8
60178.91,67517.35,73180.04,80845.38,86196.27,86138.29,62081.32,52870.11,60283.5,60224.7
279351.17,295087.22,307576.36,314851.16,308004.15,318832.43,343193.35,376869.59,376837.49,348392.17
10142.11,10619.32,11121.47,11609.51,10553.34,10546.14,11527.46,12457.94,13619.29,12641.7
185749.66,218002.48,234637.68,228415.66,166774.11,166602.49,187217.66,227367.47,233636.1,180924.09
626133.11,644035.51,492775.57,460382.79,408212.92,457954.61,486630.15,327900.7,283649.53,239735.49
