2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
35030,39220,45850,47420,46270,44460,42090,44350,46210,41600
18620,22270,23030,22020,20520,18520,16570,17230,17810,17110
5570,6480,7450,7740,6610,4790,4110,4080,4510,4480
1030,1120,1120,1160,1190,1300,1440,1610,1570,1420
18160,22010,24790,24530,22740,21820,21790,23210,24420,22960
2520,2860,3140,3300,3350,3410,3480,3640,3770,3350
3520,4150,4530,4740,4410,4080,4040,4460,4690,4260
8280,9940,11840,12080,11380,8770,8040,8070,8820,8710
23590,25660,26980,28160,28720,29330,30300,32750,33830,33040
810,880,960,1020,1070,1160,1260,1420,1560,1530
66950,72880,91130,89830,78040,66030,57190,59150,61790,58420
43790,49690,51310,50050,41040,34540,30880,32300,34490,31370
7560,7560,7970,7520,7440,7750,8320,8750,8650,6400
9050,10180,10600,10870,10400,9880,9680,10360,10960,10320
2590,3650,4390,4270,3850,3520,3250,3700,3840,3720
890,970,1030,1100,1210,1410,1650,2020,2210,2300
630,770,840,860,870,860,970,1110,1220,1180
20880,24040,24280,24590,22970,20980,19350,21880,23180,22420
1020,1150,1310,1340,1250,1110,1020,1020,1070,1050
4950,5520,5610,5640,5580,5570,5820,6450,7080,6920
35520,42370,44520,42380,38250,32690,29400,29030,31880,31210
1730,2160,2430,2600,2740,2790,2470,2120,1880,1770
48250,51710,54460,56380,53160,53250,54590,56560,58910,55260
3530,3880,4110,4170,4080,3850,4070,4410,4880,4470
4960,6310,6590,6320,5460,5050,4400,4780,5470,4660
7020,7660,7340,6740,5480,5470,5490,4860,4000,3280
3010,3580,3710,3600,3420,3400,3530,3850,4070,3900
3620,3720,4240,4040,3860,3830,3920,4090,4180,4030
4600,5200,5540,5510,4880,4400,3970,4010,4050,3610
2560,2840,2870,3060,3160,3260,2870,2760,2690,3010
390,410,460,540,590,650,720,780,830,880
3370,4080,4650,4800,3880,2450,1980,1870,2040,1690
1090,1120,1180,1230,1140,1070,1050,1150,1200,1230
6610,7250,7020,6800,5890,5760,5850,6220,6630,6020
680,730,750,740,680,660,650,730,750,750
230,250,240,250,250,250,250,240,230,220
610,590,610,630,630,660,710,860,880,880
