2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10.01,9.551,8.729,8.733,8.002,8.305,9.278,9.629,9.045,8.401
4.162,3.925,3.905,4.21,3.836,4.057,4.88,5.311,4.944,4.437
11.841,10.754,9.955,9.721,8.029,7.906,9.943,11.547,10.682,9.53
207.366,200.343,206.445,210.656,227.358,241.254,235.559,221.198,204.401,211.567
1.585,1.397,1.313,1.361,1.365,1.477,1.628,1.629,1.583,1.508
92.943,91.581,90.415,90.146,91.476,93.439,94.391,95.286,99.953,107.985
4.292,3.973,3.795,3.719,3.391,3.711,4.021,3.945,3.725,3.719
23.264,20.925,19.986,18.329,16.203,15.653,20.747,22.223,20.597,19.642
53.125,49.822,50.808,52.71,51.037,51.146,53.594,52.667,48.815,49.767
15.839,15.971,15.862,16.375,16.869,17.256,17.601,17.304,17.365,16.91
2.506,2.564,2.181,2.296,2.073,2.298,2.817,3.099,2.854,2.472
3.518,3.503,3.394,3.249,2.792,3.168,3.909,4.279,3.949,3.377
5.281,5.822,5.882,6.396,6.711,6.6,6.374,6.274,5.966,4.955
32.923,30.888,30.498,31.1,28.976,30.491,32.966,34.632,33.319,32.688
4.019,3.368,2.866,2.863,3.018,3.177,3.533,3.562,3.7,3.579
144.537,137.48,145.622,157.169,161.222,188.111,178.033,159.099,158.931,162.566
34.244,28.186,26.384,26.432,28.001,28.516,29.868,29.83,28.021,28.334
32.147,30.615,30.752,30.758,28.484,30.74,35.586,38.692,36.176,32.751
6.395,6.637,6.449,6.8,6.617,6.299,7.389,7.613,7.758,7.747
74.913,72.021,74.926,72.223,71.917,74.213,78.412,78.567,76.833,72.32
0.522,0.45,0.406,0.403,0.338,0.349,0.413,0.467,0.422,0.385
34.785,31.258,30.115,31.094,31.458,30.874,25.134,24.939,32.066,34.025
5.79,5.707,5.648,5.584,5.794,5.987,6.287,6.663,6.397,6.305
2.873,2.737,2.706,2.784,2.587,2.739,2.832,2.825,2.791,2.828
37.45,34.549,35.605,36.142,30.545,32.991,42.549,47.566,42.712,38.825
89.193,84.078,67.136,68.306,74.491,83.721,88.639,67.469,70.912,73.09
296.667,256.388,245.963,247.449,251.712,274.082,287.711,270.72,274.963,271.553
8.156,8.504,8.126,9.121,9.997,10.416,10.614,10.604,10.647,10.814
43.481,40.204,37.862,38.804,34.012,36.371,42.846,43.619,42.41,40.372
92.183,98.281,100.5,99.868,104.23,101.976,82.137,95.141,118.468,127.514
81.93,105.636,103.583,102.986,109.473,114.302,113.571,108.037,115.557,122.338
32.474,30.637,28.689,28.593,22.479,20.343,34.835,41.601,33.975,29.729
9.81,9.948,10.608,10.8,9.99,11.048,12.097,12.402,11.993,12.725
2.323,1.983,2.033,2.275,2.297,2.619,2.753,2.738,2.523,2.485
17.765,17.207,17.926,18.842,17.4,19.444,21.703,21.767,21.571,23.911
9.721,9.333,10.215,10.823,12.416,10.557,10.849,11.113,11.202,12.044
6.348,6.565,7.085,7.262,6.636,9.139,9.008,8.174,7.946,8.397
0.532,0.506,0.559,0.583,0.524,0.558,0.604,0.607,0.572,0.589
1.855,1.862,2.053,2.049,2.376,2.56,2.467,2.494,2.591,2.589
9.978,10.912,12.14,12.025,11.726,11.31,12.747,13.949,14.301,14.924
1.718,1.57,1.687,1.701,1.691,1.842,2.046,2.149,1.846,1.935
28.505,26.974,35.294,30.1,26.421,32.094,33.19,32.829,31.785,31.409
2.243,1.889,1.973,2.039,1.878,2.059,2.377,2.552,2.428,2.242
13.304,13.583,15.909,16.112,16.363,17.124,15.03,22.036,15.057,14.733
